_time,hostname,process,pid,message,user,file,severity,action,command,source_ip,service
2025-07-28 15:33:23,h-VMware-Virtual-Platform,gnome-text-edit,6813.0,adw_tab_view_close_page: assertion 'ADW_IS_TAB_PAGE (page)' failed,,,critical,,,,
2025-07-28 15:33:23,h-VMware-Virtual-Platform,gnome-text-edit,6813.0,adw_tab_view_close_page: assertion 'ADW_IS_TAB_PAGE (page)' failed,,,critical,,,,
2025-07-28 15:33:30,h-VMware-Virtual-Platform,systemd,2623.0,Started vte-spawn-756a7c46-b9a4-4541-847e-d3231a33e9a1.scope - VTE child process 12512 launched by gnome-terminal-server process 10635.,,,,Started,,,
2025-07-28 15:33:58,h-VMware-Virtual-Platform,systemd,1.0,Started anacron.service - Run anacron jobs.,,,,Started,,,
2025-07-28 15:33:58,h-VMware-Virtual-Platform,anacron,12520.0,Anacron 2.3 started on 2025-07-28,,,,,,,
2025-07-28 15:33:58,h-VMware-Virtual-Platform,anacron,12520.0,Normal exit (0 jobs run),,,,,,,
2025-07-28 15:33:58,h-VMware-Virtual-Platform,systemd,1.0,anacron.service: Deactivated successfully.,,,,,,,
2025-07-28 15:35:01,h-VMware-Virtual-Platform,CRON,12523.0,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0),,,,,,,
2025-07-28 15:35:01,h-VMware-Virtual-Platform,CRON,12524.0,(root) CMD (command -v debian-sa1 > /dev/null && debian-sa1 1 1),,/dev/null,,,,,
2025-07-28 15:35:01,h-VMware-Virtual-Platform,CRON,12523.0,pam_unix(cron:session): session closed for user root,,,,,,,
2025-07-28 15:38:15,h-VMware-Virtual-Platform,org.gnome.TextEditor.desktop,12558.0,libEGL warning: DRI3: Screen seems not DRI3 capable,,,warning,,,,
2025-07-28 15:38:15,h-VMware-Virtual-Platform,org.gnome.TextEditor.desktop,12558.0,libEGL warning: DRI2: failed to authenticate,,,warning,,,,
2025-07-28 15:38:15,h-VMware-Virtual-Platform,org.gnome.TextEditor.desktop,12558.0,libEGL warning: DRI3: Screen seems not DRI3 capable,,,warning,,,,
2025-07-28 15:38:15,h-VMware-Virtual-Platform,org.gnome.TextEditor.desktop,12558.0,MESA: error: ZINK: failed to choose pdev,,,error,,,,
2025-07-28 15:38:15,h-VMware-Virtual-Platform,org.gnome.TextEditor.desktop,12558.0,libEGL warning: egl: failed to create dri2 screen,,,warning,,,,
